,Name,Price,Selldate,Public Year,Mileage,Origin,Bodytype,Seats,City,Year,Fueltype,Engine,Manufacturer
1323,Ford Everest Titanium Plus 2.0L 4x4 AT,1380,4/11/2024,2022,28000,Nhap khau,SUV,7,Ha Noi,2,Dau,2000,Ford
1324,LandRover Range Rover HSE 3.0,2620,4/11/2024,2015,66000,Nhap khau,SUV,5,Ha Noi,9,Xang,3000,Land Rover
1325,Toyota Vios 1.5G,395,4/11/2024,2019,68000,Lap rap,Sedan,5,Ha Noi,5,Xang,1500,Toyota
1326,Suzuki XL7 1.5 AT,515,4/11/2024,2022,39000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Suzuki
1327,Ford EcoSport Titanium 1.5L AT,445,4/11/2024,2019,44000,Lap rap,SUV,5,Ha Noi,5,Xang,1500,Ford
1328,Lexus RX 300,3199,4/11/2024,2022,21000,Nhap khau,SUV,5,Ha Noi,2,Xang,2000,Lexus
1329,Kia Sedona 2.2 DAT Luxury,850,4/11/2024,2020,80000,Lap rap,Van,7,Ha Noi,4,Dau,2200,Kia
1330,VinFast Lux A 2.0 Premium 2.0 AT,610,4/11/2024,2019,55000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,VinFast
1331,Kia Carnival Signature 2.2D,1295,4/11/2024,2022,36000,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
1332,Mercedes Benz GLC 300 4Matic,1079,4/11/2024,2017,80000,Lap rap,SUV,5,Ha Noi,7,Xang,2000,Mercedes
1333,Mercedes Benz CLA class CLA 250 4Matic,558,4/11/2024,2014,43000,Nhap khau,Sedan,5,Ha Noi,10,Xang,2000,Mercedes
1334,Mercedes Benz S class S450 4Matic,4200,4/11/2024,2022,27000,Nhap khau,Sedan,5,Ha Noi,2,Xang,3000,Mercedes
1335,Ford EcoSport Titanium 1.5L AT,459,4/11/2024,2020,70000,Lap rap,SUV,5,Ha Noi,4,Xang,1500,Ford
1336,Mazda CX5 2.5 AT 2WD,648,4/11/2024,2018,61000,Lap rap,SUV,5,Ha Noi,6,Xang,2500,Mazda
1337,Porsche Macan 2.0,2280,4/11/2024,2015,77000,Nhap khau,SUV,5,Ha Noi,9,Xang,2000,Porsche
1338,Mercedes Benz GLC 200 4Matic,1450,4/11/2024,2020,40000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
1339,Honda CRV L,1059,4/11/2024,2024,10000,Lap rap,SUV,7,Ha Noi,0,Xang,1500,Honda
1340,VinFast President 6.2 V8,1450,4/11/2024,2021,50000,Lap rap,SUV,7,Ha Noi,3,Xang,6200,VinFast
1341,Mercedes Benz Maybach S450 4Matic,3688,4/11/2024,2017,88000,Nhap khau,Sedan,5,Ha Noi,7,Xang,3000,Mercedes
1342,VinFast Fadil Tieu chuan 1.4 AT,329,4/11/2024,2022,0,Lap rap,Hatchback,5,Ha Noi,2,Xang,1400,VinFast
1343,Toyota Camry 2.0Q,1125,4/11/2024,2022,9900,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Toyota
1344,Mercedes Benz C class C300 AMG,999,4/11/2024,2018,70000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Mercedes
1345,Porsche 718 Boxster 2.0 AT,4200,4/11/2024,2022,14000,Nhap khau,Convertible,2,Ha Noi,2,Xang,2000,Porsche
1346,Lexus LX 570,4599,4/11/2024,2015,130000,Nhap khau,SUV,7,Ha Noi,9,Xang,5700,Lexus
1347,Mercedes Benz GLC 300 4Matic,1240,4/11/2024,2019,81000,Lap rap,SUV,5,Ha Noi,5,Xang,2000,Mercedes
1348,Kia Cerato 2.0 AT,425,4/11/2024,2018,60000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Kia
1349,Honda City 1.5TOP,388,4/11/2024,2017,0,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Honda
1350,Ford Ranger XLS 2.2L 4x2 AT,575,4/11/2024,2022,39000,Lap rap,Ban tai,5,Ha Noi,2,Dau,2200,Ford
1351,Honda CRV 2.0 AT,510,4/11/2024,2015,0,Lap rap,SUV,5,Ha Noi,9,Xang,2000,Honda
1352,Hyundai SantaFe 2.2L 4WD,736,4/11/2024,2018,120000,Lap rap,SUV,7,Ha Noi,6,Dau,2200,Hyundai
1353,Mercedes Benz E class E200 Edition,670,4/11/2024,2015,110000,Lap rap,Sedan,5,Ha Noi,9,Xang,2000,Mercedes
1354,Mercedes Benz E class E250,1069,4/11/2024,2017,67000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
1355,Mercedes Benz C class C200,899,4/11/2024,2019,65000,Lap rap,Sedan,5,Ha Noi,5,Xang,1500,Mercedes
1356,Mercedes Benz GLC 300 4Matic,2599,4/11/2024,2023,16000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
1357,Audi A5 Sportback 2.0,690,4/11/2024,2015,82000,Nhap khau,Sedan,5,Ha Noi,9,Xang,2000,Audi
1358,Lexus ES 250,2250,4/11/2024,2021,44000,Nhap khau,Sedan,5,Ha Noi,3,Xang,2500,Lexus
1359,Kia Cerato 2.0 AT Premium,510,4/11/2024,2020,45000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Kia
1360,BMW X7 xDrive40i M Sport,4190,4/11/2024,2021,64000,Nhap khau,SUV,7,Ha Noi,3,Xang,3000,BMW
1361,VinFast Lux SA 2.0 Premium 2.0 AT,835,4/11/2024,2021,0,Lap rap,SUV,7,Ha Noi,3,Xang,2000,VinFast
1362,Mitsubishi Xpander 1.5 AT,535,4/11/2024,2021,57000,Nhap khau,SUV,7,Ha Noi,3,Xang,1500,Mitsubishi
1363,Mazda CX5 2.0 Premium,710,4/11/2024,2020,66000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mazda
1364,Hyundai SantaFe Cao cap 2.5L HTRAC,1029,4/11/2024,2022,50000,Lap rap,SUV,7,Ha Noi,2,Xang,2500,Hyundai
1365,Ford Everest Titanium Plus 2.0L 4x4 AT,1419,4/11/2024,2023,23000,Nhap khau,SUV,7,Ha Noi,1,Dau,2000,Ford
1366,Porsche 718 Boxster 2.0 AT,4250,4/11/2024,2022,14000,Nhap khau,Convertible,2,Ha Noi,2,Xang,2000,Porsche
1367,Porsche 911 Carrera Cabriolet,9300,4/11/2024,2021,5200,Nhap khau,Convertible,4,Ha Noi,3,Xang,3000,Porsche
1368,Porsche Macan 2.0,3390,4/11/2024,2023,7000,Nhap khau,SUV,5,Ha Noi,1,Xang,2000,Porsche
1369,Porsche 911 Carrera,6500,4/11/2024,2020,5000,Nhap khau,Coupe,4,Ha Noi,4,Xang,3000,Porsche
1370,Honda CRV 2.0 AT,515,4/11/2024,2015,110000,Lap rap,SUV,5,Ha Noi,9,Xang,2000,Honda
1371,Toyota Camry 2.5Q,888,4/11/2024,2019,58000,Nhap khau,Sedan,5,Ha Noi,5,Xang,2500,Toyota
1372,Porsche Macan GTS,4699,4/11/2024,2021,10000,Nhap khau,SUV,5,Ha Noi,3,Xang,2900,Porsche
1373,Honda Accord 1.5 AT,895,4/11/2024,2021,50000,Nhap khau,Sedan,5,Ha Noi,3,Xang,1500,Honda
1374,Ford Ranger XLS 2.2L 4x2 AT,465,4/11/2024,2018,85000,Nhap khau,Ban tai,5,Ha Noi,6,Dau,2200,Ford
1375,Toyota Camry 2.5Q,745,4/11/2024,2018,72000,Lap rap,Sedan,5,Ha Noi,6,Xang,2500,Toyota
1376,VinFast VF8 Eco,750,4/11/2024,2022,20000,Lap rap,SUV,5,Ha Noi,2,Dien,0,VinFast
1377,Ford Ranger Wildtrak 2.0L 4x4 AT,752,4/11/2024,2022,38000,Lap rap,Ban tai,5,Ha Noi,2,Dau,2000,Ford
1378,Mazda 3 S 1.6 AT,315,4/11/2024,2014,130000,Lap rap,Sedan,5,Ha Noi,10,Xang,1600,Mazda
1379,Kia Carnival Signature 2.2D,1390,4/11/2024,2023,14000,Lap rap,Van,7,Ha Noi,1,Dau,2200,Kia
1380,Honda City RS 1.5 AT,549,4/11/2024,2023,20000,Lap rap,Sedan,5,Ha Noi,1,Xang,1500,Honda
1381,Mercedes Benz GLC 300 4Matic,1079,4/11/2024,2017,48000,Lap rap,SUV,5,Ha Noi,7,Xang,2000,Mercedes
1382,Honda City 1.5 AT,310,4/11/2024,2014,130000,Lap rap,Sedan,5,Ha Noi,10,Xang,1500,Honda
1383,Mercedes Benz GLC 250 4Matic,925,4/11/2024,2017,86000,Lap rap,SUV,5,Ha Noi,7,Xang,2000,Mercedes
1384,BMW 4 Series 420i Gran Coupe,1150,4/11/2024,2018,0,Nhap khau,Sedan,5,Ha Noi,6,Xang,2000,BMW
1385,VinFast Lux A 2.0 2.0 AT,585,4/11/2024,2021,30000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,VinFast
1386,Mercedes Benz GLC 200 4Matic,2050,4/11/2024,2023,3000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
1387,Audi A6 1.8 TFSI,950,4/11/2024,2017,76000,Nhap khau,Sedan,5,Ha Noi,7,Xang,1800,Audi
1388,Toyota Vios 1.5E CVT,315,4/11/2024,2018,0,Lap rap,Sedan,5,Ha Noi,6,Xang,1500,Toyota
1389,Toyota Camry 2.5Q,1220,4/11/2024,2022,28000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2500,Toyota
1390,Hyundai Accent 1.4 ATH,385,4/11/2024,2019,62000,Lap rap,Sedan,5,Ha Noi,5,Xang,1400,Hyundai
1391,Mercedes Benz E class E300 AMG,2099,4/11/2024,2022,19000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
1392,Kia Seltos Luxury 1.4 AT,535,4/11/2024,2020,40000,Lap rap,Crossover,5,Ha Noi,4,Xang,1400,Kia
1393,Mercedes Benz GLC 300 4Matic,1999,4/11/2024,2022,27000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
1394,Toyota Corolla Cross 1.8V,715,4/11/2024,2020,49000,Nhap khau,SUV,5,Ha Noi,4,Xang,1800,Toyota
1395,Hyundai Tucson 2.0 ATH,689,4/11/2024,2020,50000,Lap rap,Crossover,5,Ha Noi,4,Xang,2000,Hyundai
1396,Kia Cerato 2.0 AT,439,4/11/2024,2018,99000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Kia
1397,Mazda CX8 Luxury,785,4/11/2024,2020,60000,Lap rap,SUV,7,Ha Noi,4,Xang,2500,Mazda
1398,Mazda BT50 2.2L 4x2 AT,355,4/11/2024,2015,13000,Nhap khau,Ban tai,5,Ha Noi,9,Dau,2200,Mazda
1399,Toyota Camry 2.5Q,1200,4/11/2024,2022,40000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2500,Toyota
1400,VinFast Lux SA 2.0 2.0 AT,665,4/11/2024,2020,69000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
1401,Ford Ranger XLS 2.2L 4x2 AT,459,4/11/2024,2017,11000,Nhap khau,Ban tai,5,Ha Noi,7,Dau,2200,Ford
1402,Toyota Fortuner 2.7L 4x2 AT,995,4/11/2024,2022,39000,Nhap khau,SUV,7,Ha Noi,2,Xang,2700,Toyota
1403,Hyundai Accent 1.4 AT,295,4/11/2024,2014,75000,Nhap khau,Hatchback,5,Ha Noi,10,Xang,1400,Hyundai
1404,Mercedes Benz C class C200 Avantgarde Plus,1499,4/11/2024,2023,19,Lap rap,Sedan,5,Ha Noi,1,Xang,1500,Mercedes
1405,Mazda 6 Premium 2.0 AT,585,4/11/2024,2019,60000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mazda
1406,Peugeot 5008 Allure 1.6 AT,780,4/11/2024,2020,59000,Lap rap,SUV,7,Ha Noi,4,Xang,1600,Peugeot
1407,Mercedes Benz GLE Class GLE 400 4Matic Exclusive,1350,4/11/2024,2016,82000,Nhap khau,SUV,5,Ha Noi,8,Xang,3000,Mercedes
1408,Hyundai Sonata 2.0 AT,459,4/11/2024,2015,68000,Nhap khau,Sedan,5,Ha Noi,9,Xang,2000,Hyundai
1409,Honda CRV L,795,4/11/2024,2019,79000,Nhap khau,SUV,7,Ha Noi,5,Xang,1500,Honda
1410,Mitsubishi Pajero Sport 2.4D 4x2 AT,835,4/11/2024,2020,0,Nhap khau,SUV,7,Ha Noi,4,Dau,2400,Mitsubishi
1411,Mercedes Benz C class C300 AMG,1779,4/11/2024,2022,13000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
1412,Mitsubishi Outlander Sport 2.0 CVT Premium,445,4/11/2024,2015,150000,Nhap khau,SUV,5,Ha Noi,9,Xang,2000,Mitsubishi
1413,Mazda CX5 2.5 AT,535,4/11/2024,2016,0,Lap rap,SUV,5,Ha Noi,8,Xang,2500,Mazda
1414,Mazda CX5 2.5 AT,535,4/11/2024,2016,0,Lap rap,SUV,5,Ha Noi,8,Xang,2500,Mazda
1415,Kia Rondo DAT,435,4/11/2024,2016,75555,Lap rap,SUV,7,Ha Noi,8,Dau,1700,Kia
1416,Mercedes Benz C class C300 AMG,1850,4/11/2024,2022,12000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
1417,Toyota Hilux 2.4L 4x2 AT,628,4/11/2024,2021,88000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2400,Toyota
1418,Lexus NX 300,1499,4/11/2024,2017,39000,Nhap khau,SUV,5,Ha Noi,7,Xang,2000,Lexus
1419,Mazda CX8 Premium,985,4/11/2024,2023,15000,Lap rap,SUV,7,Ha Noi,1,Xang,2500,Mazda
1420,Mercedes Benz C class C200,639,4/11/2024,2017,70000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
1421,VinFast President 6.2 V8,1295,4/11/2024,2021,77000,Lap rap,SUV,7,Ha Noi,3,Xang,6200,VinFast
1422,Mazda 6 2.0 AT,428,4/11/2024,2015,87000,Lap rap,Sedan,5,Ha Noi,9,Xang,2000,Mazda
1423,Toyota Rush 1.5S AT,515,4/11/2024,2020,50000,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Toyota
1424,Hyundai Tucson 2.0 AT CRDi,725,4/11/2024,2020,60000,Lap rap,Crossover,5,Ha Noi,4,Dau,2000,Hyundai
1425,Hyundai Palisade Exclusive 2.2 AT,1400,4/11/2024,2023,16000,Lap rap,SUV,6,Ha Noi,1,Dau,2200,Hyundai
1426,Ford Ranger XLS 2.2L 4x2 AT,535,4/11/2024,2019,90000,Nhap khau,Ban tai,5,Ha Noi,5,Dau,2200,Ford
1427,VinFast President 6.2 V8,1430,4/11/2024,2021,57000,Lap rap,SUV,7,Ha Noi,3,Xang,6200,VinFast
1428,VinFast Fadil Tieu chuan 1.4 AT,330,4/11/2024,2022,40000,Lap rap,Hatchback,5,Ha Noi,2,Xang,1400,VinFast
1429,VinFast Lux SA 2.0 2.0 AT,640,4/11/2024,2019,0,Lap rap,SUV,7,Ha Noi,5,Xang,2000,VinFast
1430,VinFast VF5 Plus,399,4/11/2024,2024,0,Lap rap,SUV,5,Ha Noi,0,Dien,0,VinFast
1431,VinFast VF9 Plus,1165,4/11/2024,2023,30000,Lap rap,SUV,6,Ha Noi,1,Dien,0,VinFast
1432,VinFast VF7 Plus,995,4/11/2024,2024,4000,Lap rap,SUV,5,Ha Noi,0,Dien,0,VinFast
1433,Mercedes Benz E class E300 AMG,1589,4/11/2024,2019,48000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
1434,VinFast VF7 Plus,995,4/11/2024,2024,4000,Lap rap,SUV,5,Ha Noi,0,Dien,0,VinFast
1435,Mercedes Benz E class E300 AMG,1589,4/11/2024,2019,48000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
1436,MG 5 Luxury 1.5 AT,468,4/11/2024,2023,6000,Nhap khau,Sedan,5,Ha Noi,1,Xang,1500,MG
1437,Lexus LX 600 Urban,8980,4/11/2024,2023,20000,Nhap khau,SUV,7,Ha Noi,1,Xang,3400,Lexus
1438,Ford Everest Titanium 2.0L 4x2 AT,965,4/11/2024,2021,50000,Nhap khau,SUV,7,Ha Noi,3,Dau,2000,Ford
1439,VinFast VF5 Plus,520,4/11/2024,2024,9000,Lap rap,SUV,5,Ha Noi,0,Dien,0,VinFast
1440,VinFast Lux SA 2.0 Premium 2.0 AT,755,4/11/2024,2020,65000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
1441,VinFast Lux A 2.0 Nang cao,685,4/11/2024,2022,19000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,VinFast
1442,Kia Sportage Signature X-Line 1.6T AWD,925,4/11/2024,2022,20000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Kia
1443,Lexus LX 570,6880,4/11/2024,2019,99000,Nhap khau,SUV,7,Ha Noi,5,Xang,5700,Lexus
1444,Ford Everest Titanium 2.0L 4x2 AT,955,4/11/2024,2021,40000,Nhap khau,SUV,7,Ha Noi,3,Dau,2000,Ford
1445,LandRover Defender 110 P400 3.0 AT,3999,4/11/2024,2022,30000,Nhap khau,SUV,4,Ha Noi,2,Xang,3000,Land Rover
1446,Suzuki XL7 1.5 AT,520,4/11/2024,2022,26300,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Suzuki
1447,Toyota Veloz Cross Top 1.5 CVT,590,4/11/2024,2022,48000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Toyota
1448,LandRover Range Rover Autobiography LWB 3.0,2450,4/11/2024,2014,68000,Nhap khau,SUV,5,Ha Noi,10,Xang,3000,Land Rover
1449,Ford Ranger Wildtrak 3.2L 4x4 AT,515,4/11/2024,2016,95000,Nhap khau,Ban tai,5,Ha Noi,8,Dau,3200,Ford
1450,Mercedes Benz S class S450L,1888,4/11/2024,2017,75000,Lap rap,Sedan,5,Ha Noi,7,Xang,3000,Mercedes
1451,Toyota Yaris 1.5G,479,4/11/2024,2018,54000,Nhap khau,Hatchback,5,Ha Noi,6,Xang,1500,Toyota
1452,Mazda CX5 2.5 AT 2WD,640,4/11/2024,2018,60000,Lap rap,SUV,5,Ha Noi,6,Xang,2500,Mazda
1453,Rolls Royce Ghost Series II EWB,17600,4/11/2024,2016,0,Nhap khau,Sedan,4,Ha Noi,8,Xang,6600,Rolls-Royce
1454,VinFast Lux A 2.0 2.0 AT,525,4/11/2024,2019,80000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,VinFast
1455,Porsche Cayenne 3.0 V6,2350,4/11/2024,2017,45000,Nhap khau,SUV,5,Ha Noi,7,Xang,3000,Porsche
1456,Mercedes Benz GLC 200 4Matic,1579,4/11/2024,2021,68000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
1457,Mercedes Benz GLC 200 4Matic,1499,4/11/2024,2020,40000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
1458,Mercedes Benz GLC 200 4Matic,1529,4/11/2024,2021,66000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
1459,MG 5 Luxury 1.5 AT,465,4/11/2024,2023,33000,Nhap khau,Sedan,5,Ha Noi,1,Xang,1500,MG
1460,Ford EcoSport Titanium 1.5 AT,480,4/11/2024,2021,17000,Lap rap,SUV,5,Ha Noi,3,Xang,1500,Ford
1461,Porsche Macan 2.0,3150,4/11/2024,2021,30000,Nhap khau,SUV,5,Ha Noi,3,Xang,2000,Porsche
1462,Mercedes Benz C class C300 AMG,860,4/11/2024,2018,70000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Mercedes
1463,Mercedes Benz E class E250,980,4/11/2024,2017,90000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
1464,Lexus RX 350L,3090,4/11/2024,2018,45524,Nhap khau,SUV,7,Ha Noi,6,Xang,3500,Lexus
1465,Hyundai i10 Grand 1.2 AT,326,4/11/2024,2019,68123,Lap rap,Hatchback,5,Ha Noi,5,Xang,1250,Hyundai
1466,VinFast Fadil Tieu chuan 1.4 AT,350,4/11/2024,2022,15000,Lap rap,Hatchback,5,Ha Noi,2,Xang,1400,VinFast
1467,Mercedes Benz GLC 200 4Matic,1460,4/11/2024,2020,37000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
1468,Hyundai Custin Cao Cap 2.0T,899,4/11/2024,2023,5000,Lap rap,Van,7,Ha Noi,1,Xang,2000,Hyundai
1469,Volvo XC90 Recharge T8 AWD,3550,4/11/2024,2021,55000,Nhap khau,SUV,7,Ha Noi,3,Hybrid,2000,Volvo
1470,Mazda CX5 Premium 2.0 AT,770,4/11/2024,2021,30000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mazda
1471,Kia Carnival Signature 2.2D,1280,4/11/2024,2022,50000,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
1472,Hyundai Creta Dac biet 1.5 AT,620,4/11/2024,2022,29000,Nhap khau,Crossover,5,Ha Noi,2,Xang,1500,Hyundai
1473,Toyota Camry 2.0G,930,4/11/2024,2022,0,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Toyota
1474,Hyundai Creta Dac biet 1.5 AT,620,4/11/2024,2022,29000,Nhap khau,Crossover,5,Ha Noi,2,Xang,1500,Hyundai
1475,Toyota Camry 2.0G,930,4/11/2024,2022,0,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Toyota
1476,Mercedes Benz S class S450L,2820,4/11/2024,2020,21000,Lap rap,Sedan,5,Ha Noi,4,Xang,3000,Mercedes
1477,Hyundai Accent 1.4 AT,453,4/11/2024,2023,17300,Lap rap,Sedan,5,Ha Noi,1,Xang,1400,Hyundai
1478,Peugeot 3008 AL,819,4/11/2024,2022,50000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Peugeot
1479,Mercedes Benz GLS 450 4Matic,4480,4/11/2024,2022,30000,Nhap khau,SUV,7,Ha Noi,2,Xang,3000,Mercedes
1480,Kia Carnival Signature 2.2D,1275,4/11/2024,2022,68000,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
1481,Toyota Vios G 1.5 CVT,479,4/11/2024,2022,40000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Toyota
1482,Porsche Macan 2.0,1479,4/11/2024,2015,88000,Nhap khau,SUV,5,Ha Noi,9,Xang,2000,Porsche
1483,Hyundai SantaFe Cao cap 2.2L HTRAC,1090,4/11/2024,2021,24000,Lap rap,SUV,7,Ha Noi,3,Dau,2200,Hyundai
1484,Honda CRV L,769,4/11/2024,2018,80000,Nhap khau,SUV,7,Ha Noi,6,Xang,1500,Honda
1485,Ford Everest Titanium Plus 2.0L 4x4 AT,1425,4/11/2024,2023,24000,Nhap khau,SUV,7,Ha Noi,1,Dau,2000,Ford
1486,VinFast Lux A 2.0 2.0 AT,565,4/11/2024,2020,44000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,VinFast
1487,MG 5 Standard 1.5 AT,405,4/11/2024,2022,37000,Nhap khau,Sedan,5,Ha Noi,2,Xang,1500,MG
1488,Ford Everest Titanium 2.0L 4x4 AT,910,4/11/2024,2019,77000,Nhap khau,SUV,7,Ha Noi,5,Dau,2000,Ford
1489,Mercedes Benz GLC 300 4Matic,1650,4/11/2024,2020,48000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
1490,LandRover Range Rover Autobiography LWB 5.0 V8,6750,4/11/2024,2019,40000,Nhap khau,SUV,4,Ha Noi,5,Xang,5000,Land Rover
1491,Lexus LX 570 Super Sport,4800,4/11/2024,2016,110000,Nhap khau,SUV,7,Ha Noi,8,Xang,5700,Lexus
1492,Mazda CX5 2.5 AT 2WD,639,4/11/2024,2017,25000,Lap rap,SUV,5,Ha Noi,7,Xang,2500,Mazda
1493,Lexus RX 350,3850,4/11/2024,2022,30000,Nhap khau,SUV,5,Ha Noi,2,Xang,3500,Lexus
1494,Lexus RX 350L,3050,4/11/2024,2019,80000,Nhap khau,SUV,7,Ha Noi,5,Xang,3500,Lexus
1495,Mercedes Benz E class E250,1130,4/11/2024,2018,64000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Mercedes
1496,BMW 3 Series 320i,599,4/11/2024,2016,79000,Nhap khau,Sedan,5,Ha Noi,8,Xang,2000,BMW
1497,Mazda CX5 2.5 AT,518,4/11/2024,2016,88000,Lap rap,SUV,5,Ha Noi,8,Xang,2500,Mazda
1498,MG 5 Luxury 1.5 AT,440,4/11/2024,2022,40000,Nhap khau,Sedan,5,Ha Noi,2,Xang,1500,MG
1499,Ford Everest Titanium 2.0L 4x4 AT,980,4/11/2024,2021,0,Nhap khau,SUV,7,Ha Noi,3,Dau,2000,Ford
1500,Hyundai i10 1.2 AT,395,4/11/2024,2023,19000,Lap rap,Hatchback,5,Ha Noi,1,Xang,1250,Hyundai
1501,Mercedes Benz S class S450L,2350,4/11/2024,2019,38000,Lap rap,Sedan,5,Ha Noi,5,Xang,3000,Mercedes
1502,Porsche Cayenne 3.6 V6,1290,4/11/2024,2014,74000,Nhap khau,SUV,5,Ha Noi,10,Xang,3600,Porsche
1503,BMW 7 Series 740Li,3190,4/11/2024,2020,43000,Nhap khau,Sedan,5,Ha Noi,4,Xang,3000,BMW
1504,LandRover Range Rover Evoque Dynamic,790,4/11/2024,2014,60000,Nhap khau,SUV,5,Ha Noi,10,Xang,2000,Land Rover
1505,Bentley Mulsanne Speed,7900,4/11/2024,2014,53000,Nhap khau,Sedan,5,Ha Noi,10,Xang,6800,Bentley
1506,Mitsubishi Triton 4x2 AT,465,4/11/2024,2019,80000,Nhap khau,Ban tai,5,Ha Noi,5,Dau,2500,Mitsubishi
1507,Hyundai SantaFe Cao cap 2.2L HTRAC,1060,4/11/2024,2021,32000,Lap rap,SUV,7,Ha Noi,3,Dau,2200,Hyundai
1508,Mazda CX5 Premium 2.0 AT,779,4/11/2024,2022,33000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mazda
1509,VinFast VF9 Plus,1280,4/11/2024,2023,30000,Lap rap,SUV,6,Ha Noi,1,Dien,0,VinFast
1510,Kia Sorento GAT,444,4/11/2024,2016,80000,Lap rap,SUV,7,Ha Noi,8,Xang,2400,Kia
1511,Honda City 1.5 AT,335,4/11/2024,2016,80000,Lap rap,Sedan,5,Ha Noi,8,Xang,1500,Honda
1512,Mercedes Benz C class C180,888,4/11/2024,2020,53000,Lap rap,Sedan,5,Ha Noi,4,Xang,1500,Mercedes
1513,Mercedes Benz E class E300 AMG,1899,4/11/2024,2021,80000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,Mercedes
1514,Mercedes Benz GLC 300 Coupe 4Matic,1989,4/11/2024,2019,61000,Nhap khau,SUV,5,Ha Noi,5,Xang,2000,Mercedes
1515,LandRover Range Rover Autobiography LWB 3.0 V6,6200,4/11/2024,2019,46000,Nhap khau,SUV,4,Ha Noi,5,Xang,3000,Land Rover
1516,Toyota Fortuner 2.7V 4x4 AT,489,4/11/2024,2015,90000,Lap rap,SUV,7,Ha Noi,9,Xang,2700,Toyota
1517,Mercedes Benz GLC 300 4Matic,2579,4/11/2024,2023,16000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
1518,Mercedes Benz GLC 300 4Matic,1839,4/11/2024,2022,12000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
1519,Mercedes Benz GLC 200,1489,4/11/2024,2022,0,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
1521,Mercedes Benz S class S450L Luxury,2990,4/11/2024,2020,44000,Lap rap,Sedan,5,Ha Noi,4,Xang,3000,Mercedes
1522,Toyota Camry 2.5Q,1215,4/11/2024,2022,20000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2500,Toyota
1523,Lexus ES 350,1450,4/11/2024,2017,0,Nhap khau,Sedan,5,Ha Noi,7,Xang,3500,Lexus
